Processes,Time
1,5.661257982254028
1,5.628504037857056
1,5.6175220012664795
1,5.759566068649292
1,5.475023984909058
1,5.7721030712127686
1,5.880996942520142
1,7.395388126373291
1,6.560604810714722
1,7.290083885192871
2,3.7494699954986572
2,4.008660793304443
2,4.236331939697266
2,4.53588080406189
2,4.482838869094849
2,4.198084831237793
2,4.633307218551636
2,4.636080980300903
2,4.634959936141968
2,4.362809896469116
3,3.8176019191741943
3,4.606887102127075
3,3.886795997619629
3,3.9134891033172607
3,4.028554201126099
3,3.66878604888916
3,3.6405110359191895
3,3.646389961242676
3,3.3722808361053467
3,3.758491039276123
4,2.8253860473632812
4,2.871872901916504
4,2.8830058574676514
4,2.7858190536499023
4,2.7332499027252197
4,2.771167039871216
4,2.732758045196533
4,2.6838841438293457
4,2.816028118133545
4,2.6553170680999756
5,2.6887519359588623
5,2.6621830463409424
5,2.798535108566284
5,2.717250108718872
5,3.4583370685577393
5,3.0067639350891113
5,2.7878589630126953
5,2.7345528602600098
5,2.95025897026062
5,2.7502059936523438
6,3.1068429946899414
6,3.0019328594207764
6,2.8051788806915283
6,2.716291904449463
6,2.6641838550567627
6,2.7456231117248535
6,2.7337710857391357
6,2.838603973388672
6,2.827347993850708
6,2.7768540382385254
7,2.8439531326293945
7,2.753117084503174
7,2.779482126235962
7,2.8887779712677
7,2.8742260932922363
7,2.830761194229126
7,3.5954339504241943
7,5.378114938735962
7,3.7296597957611084
7,3.2401649951934814
8,2.964815855026245
8,3.1267781257629395
8,4.243423938751221
8,4.128964900970459
8,3.301820993423462
8,3.355562925338745
8,2.9446752071380615
8,2.9246020317077637
8,2.926124095916748
8,2.9305529594421387
9,2.7814419269561768
9,2.733592987060547
9,3.001055955886841
9,2.8786380290985107
9,2.735591173171997
9,2.7352731227874756
9,2.6817450523376465
9,2.688910961151123
9,2.773301124572754
9,2.765442132949829
10,2.675792932510376
10,2.747044086456299
10,2.7411370277404785
10,2.732048988342285
10,2.756356954574585
10,2.8060178756713867
10,2.904918909072876
10,2.7275500297546387
10,2.711207866668701
10,2.8082709312438965
